Designator,Mid X,Mid Y,Rotation,Layer
R44,188.373,-209.777,180.0,top
R45,208.653,-209.777,0.0,top
R46,206.113001,-209.777,180.0,top
R47,280.77295,-176.1461,270.0,top
R48,281.71295,-195.122099,90.0,top
R49,292.08295,-197.540499,90.0,top
R5,199.783,-209.777,0.0,top
R50,280.77295,-194.192099,270.0,top
R6,197.243001,-209.777,180.0,top
R7,164.3188,-147.049,0.0,top
R8,176.0403,-137.7474,0.0,top
R9,183.5588,-147.049,0.0,top
U1,279.327,-213.499,180.0,top
U2,162.7815,-204.547,270.0,top
U3,157.2515,-199.727,90.0,top
U4,272.127,-213.487,0.0,top
U5,284.827,-213.487,0.0,top
U6,256.95,-211.65,0.0,top
U7,260.95,-211.65,0.0,top
Y1,157.2515,-204.427,180.0,top
